Rank,Member Association,Points,2025/26,2024/25,2023/24,2022,2021,2019,2018,2017
1,SAUDI ARABIA,132.545,31.1,34.542,27.1,19.075,20.95,26.35,10,18.6
2,JAPAN,120.41,30.375,27.97,21.35,20.088,17.875,21.8,13.85,21.85
3,KOREA REPUBLIC,87.334,14.333,14.762,22.35,15.8,22.75,13.6,18.35,9.95
4,UNITED ARAB EMIRATES,79.47,19.55,16.4,25.5,8.083,14.4,7.633,8.1,11.35
5,ISLAMIC REPUBLIC OF IRAN,71.449,16.102,13.274,9.3,13.25,14.225,11.5,18.85,16.2
6,QATAR,69.347,15.896,14.701,8.1,13.5,7.3,15.9,19.85,13.4
7,THAILAND,62.846,16.208,14.875,8.567,11.11,8.5,5.05,16.2,15.05
8,CHINA PR,49.483,7.383,10.25,11.9,0.5,0.8,17.35,16.2,24.567
9,AUSTRALIA,49.178,17.667,12.796,10.593,7.9,0,2.6,7.3,5.9
10,UZBEKISTAN,47.251,6.76,10.333,11.25,10.057,8.96,9,9.4,5.05
11,MALAYSIA,45.184,12.083,15.511,6.213,9.677,4,4.45,3.633,4.395
12,JORDAN,43.33,12.555,12,5.415,6,4.893,7.967,7.633,4.9
13,IRAQ,42.163,11.086,8.5,7.473,7.45,3.25,8.3,8.633,8.933
14,SINGAPORE,38.894,14.5,14.833,3.64,3.253,0,4.133,5.617,5.138
15,VIETNAM,38.02,8.667,11.333,5.4,5.3,6,10.752,3.267,2.8
16,BAHRAIN,29.548,7.207,7.583,7.02,5.215,5.51,2.5,1.633,3.467
17,OMAN,29.412,6.722,9,9.78,6.795,0,1.433,1.583,2.2
18,KUWAIT,28.242,9.572,8.075,3.165,4.16,7.07,3.433,0,0
19,CAMBODIA,27.85,10.1,11,5.62,2.07,0,1,2.25,1.683
20,INDONESIA,27.299,11.033,7.204,3.56,3.96,0,5.045,4.1,0
21,TURKMENISTAN,26.704,6.494,7.45,3.463,2.64,3.125,5.267,7.583,4.483
22,HONG KONG,23.933,4.333,3.333,4.9,6.587,7.333,3.65,3.3,1.75
23,TAJIKISTAN,22.377,5.774,3.276,2.23,2.493,4.97,3,4.433,12.9
24,KYRGYZ REPUBLIC,22.355,6.158,4.6,11.83,0.565,0.835,2.433,0.15,1.4
25,LEBANON,21.687,5.806,4.5,4.84,1.525,2.67,6.933,3.933,0.833
26,INDIA,20.765,1.338,6.5,3.453,4.797,3.677,3.217,4.417,6.25
27,PHILIPPINES,18.59,5.875,3.667,0.6,0.3,2.6,4.782,5.843,8.12
28,BANGLADESH,16.313,2.433,1.5,4.73,3.76,2.79,6.933,1.433,1.333
29,CHINESE TAIPEI,14.528,3.6,6.05,5.145,0,2,0.333,0,0
30,MYANMAR,12.612,2.05,7.15,1.64,0,0,1.6,4.062,1.3
31,SYRIA,11.61,1,2.5,1.4,2.89,1.785,3.133,2,5.933
32,MONGOLIA,9.804,3.6,2.2,5.08,0.1,0,0.1,0.1,0
33,DPR KOREA,9.537,0,0,0,0,0,11.067,7.433,3.433
34,MALDIVES,8.513,0.5,1.5,2.64,2.03,0.2,0,4.3,4.3
35,BHUTAN,6.149,2.544,3.6,0.1,0.1,0.1,0.1,0.15,0.15
36,PALESTINE,4.862,0,2.5,0.1,0.61,0.835,2.967,0.15,0.2
37,LAOS,3.387,1.55,1.65,0.1,0,0,0.333,0.15,0.15
38,MACAU,2.696,0,0,1.37,0,0,0,4,0
39,NEPAL,1.134,0,0.5,0.2,0.1,0.2,0.667,0,0
40,AFGHANISTAN,0.995,0.5,0.5,0,0,0,0,0,0.15
41,BRUNEI DARUSSALAM,0.58,0.5,0,0.1,0,0,0,0,0
42,SRI LANKA,0.405,0,0,0,0.2,0.1,0.35,0,0.1
43,YEMEN,0,0,0,0,0,0,0,0,0
44,TIMOR-LESTE,0,0,0,0,0,0,0,0,0
45,PAKISTAN,0,0,0,0,0,0,0,0,0
46,GUAM,0,0,0,0,0,0,0,0,0
47,NORTHERN MARIANA ISLANDS,0,0,0,0,0,0,0,0,0
