State,Year,Goals
Johor,2015,36
Johor,2016,56
Johor,2017,50
Johor,2018,47
Johor,2019,49
Johor,2020,33
Johor,2021,50
Johor,2022,61
Johor,2023,100
Johor,2024,59
Johor,2025,31
Kedah,2015,0
Kedah,2016,29
Kedah,2017,45
Kedah,2018,37
Kedah,2019,37
Kedah,2020,20
Kedah,2021,44
Kedah,2022,32
Kedah,2023,52
Kedah,2024,16
Kedah,2025,5
Kelantan,2015,34
Kelantan,2016,37
Kelantan,2017,31
Kelantan,2018,20
Kelantan,2019,0
Kelantan,2020,0
Kelantan,2021,0
Kelantan,2022,0
Kelantan,2023,58
Kelantan,2024,12
Kelantan,2025,4
Melaka,2015,0
Melaka,2016,0
Melaka,2017,33
Melaka,2018,33
Melaka,2019,34
Melaka,2020,13
Melaka,2021,25
Melaka,2022,22
Melaka,2023,0
Melaka,2024,0
Melaka,2025,0
Negeri Sembilan,2015,0
Negeri Sembilan,2016,0
Negeri Sembilan,2017,0
Negeri Sembilan,2018,27
Negeri Sembilan,2019,0
Negeri Sembilan,2020,0
Negeri Sembilan,2021,0
Negeri Sembilan,2022,33
Negeri Sembilan,2023,33
Negeri Sembilan,2024,14
Negeri Sembilan,2025,9
Pahang,2015,79
Pahang,2016,72
Pahang,2017,84
Pahang,2018,35
Pahang,2019,64
Pahang,2020,30
Pahang,2021,23
Pahang,2022,33
Pahang,2023,44
Pahang,2024,17
Pahang,2025,18
Perak,2015,32
Perak,2016,29
Perak,2017,30
Perak,2018,60
Perak,2019,58
Perak,2020,21
Perak,2021,20
Perak,2022,0
Perak,2023,25
Perak,2024,21
Perak,2025,14
Perlis,2015,0
Perlis,2016,0
Perlis,2017,0
Perlis,2018,0
Perlis,2019,0
Perlis,2020,0
Perlis,2021,0
Perlis,2022,0
Perlis,2023,0
Perlis,2024,0
Perlis,2025,0
Pulau Pinang,2015,0
Pulau Pinang,2016,32
Pulau Pinang,2017,16
Pulau Pinang,2018,0
Pulau Pinang,2019,0
Pulau Pinang,2020,0
Pulau Pinang,2021,38
Pulau Pinang,2022,22
Pulau Pinang,2023,29
Pulau Pinang,2024,15
Pulau Pinang,2025,16
Sabah,2015,0
Sabah,2016,0
Sabah,2017,0
Sabah,2018,0
Sabah,2019,0
Sabah,2020,12
Sabah,2021,21
Sabah,2022,36
Sabah,2023,64
Sabah,2024,32
Sabah,2025,9
Sarawak,2015,28
Sarawak,2016,32
Sarawak,2017,24
Sarawak,2018,0
Sarawak,2019,0
Sarawak,2020,0
Sarawak,2021,0
Sarawak,2022,19
Sarawak,2023,24
Sarawak,2024,21
Sarawak,2025,18
Selangor,2015,63
Selangor,2016,28
Selangor,2017,64
Selangor,2018,72
Selangor,2019,100
Selangor,2020,60
Selangor,2021,77
Selangor,2022,61
Selangor,2023,72
Selangor,2024,29
Selangor,2025,15
Terengganu,2015,40
Terengganu,2016,51
Terengganu,2017,30
Terengganu,2018,32
Terengganu,2019,35
Terengganu,2020,24
Terengganu,2021,34
Terengganu,2022,39
Terengganu,2023,45
Terengganu,2024,22
Terengganu,2025,13
Kuala Lumpur,2015,63
Kuala Lumpur,2016,21
Kuala Lumpur,2017,0
Kuala Lumpur,2018,39
Kuala Lumpur,2019,24
Kuala Lumpur,2020,5
Kuala Lumpur,2021,27
Kuala Lumpur,2022,30
Kuala Lumpur,2023,79
Kuala Lumpur,2024,45
Kuala Lumpur,2025,20
Labuan,2015,0
Labuan,2016,0
Labuan,2017,0
Labuan,2018,0
Labuan,2019,0
Labuan,2020,0
Labuan,2021,0
Labuan,2022,0
Labuan,2023,0
Labuan,2024,0
Labuan,2025,0
Putrajaya,2015,0
Putrajaya,2016,0
Putrajaya,2017,0
Putrajaya,2018,0
Putrajaya,2019,0
Putrajaya,2020,0
Putrajaya,2021,0
Putrajaya,2022,0
Putrajaya,2023,0
Putrajaya,2024,0
Putrajaya,2025,0
